,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,stage,year,founder Count,num_founders,FounderCategory
464,Fixcraft,2018,Gurgaon,Transportation,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",None,1000000.0,early traction,2021,3,3,Multiple Founders
465,Slice,2016,Bangalore,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",ajan Bajaj,Northern Arc Capital,10000000.0,others,2021,1,1,Multiple Founders
466,90+ My Tuition App,2015,Bangalore,Education,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,5000000.0,early traction,2021,1,1,Multiple Founders
467,Wasabi,2021,Bangalore,Service industry,Help small businesses grow their sales via our customer interaction and growth platform.,"Pradeep Dodle, Nikhil Goenka",021 Capital,1800000.0,validation,2021,2,2,Multiple Founders
468,Strata,2019,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore",Kotak Investment Advisors Limited,6000000.0,early traction,2021,2,2,Multiple Founders
469,Ourbetterplanet,2020,Bangalore,E-Commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,300000.0,validation,2021,1,1,Multiple Founders
470,Murf.ai,2020,Bangalore,AI,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",levation Capital,1500000.0,validation,2021,3,3,Multiple Founders
471,JetSynthesys,2014,Pune,Media,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",ajan navani,Sachin Tendulkar,2000000.0,others,2021,1,1,Multiple Founders
472,MYFITNESS,2019,Silvassa,HealthTech,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,1000000.0,validation,2021,2,2,Multiple Founders
473,I am Love,2020,Mumbai,HealthTech,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000.0,validation,2021,1,1,Multiple Founders
474,MyGlamm,2015,Mumbai,Service industry,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000.0,others,2021,2,2,Multiple Founders
475,Gumlet,2019,Bangalore,IT,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000.0,others,2021,2,2,Multiple Founders
476,Eloelo,2015,Bangalore,Entertainment,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey",Waterbridge,2000000.0,early traction,2021,2,2,Multiple Founders
477,Edukemy,2020,Noida,Education,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,Auxano,2000000.0,early traction,2021,1,1,Multiple Founders
478,Zingbus,2019,Gurgaon,Transportation,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000.0,early traction,2021,3,3,Multiple Founders
